Reference,Epoch,Satellite_ID,Azimuth,Elevation
WROC,2025-03-31 12:50:00,C08,42.56955420130141,38.35526795828328
WROC,2025-03-31 12:50:30,C08,42.504468868349136,38.301944431226076
WROC,2025-03-31 12:51:00,C08,42.439491935792965,38.24859548067139
WROC,2025-03-31 12:51:30,C08,42.374623299760884,38.19522142311369
WROC,2025-03-31 12:52:00,C08,42.309862855616345,38.14182257475497
WROC,2025-03-31 12:52:30,C08,42.24521049796575,38.08839925149867
WROC,2025-03-31 12:53:00,C08,42.18066612066605,38.034951768943706
WROC,2025-03-31 12:53:30,C08,42.11622961683219,37.981480442378476
WROC,2025-03-31 12:54:00,C08,42.05190087884464,37.92798558677481
WROC,2025-03-31 12:54:30,C08,41.98767979835672,37.87446751678215
WROC,2025-03-31 12:55:00,C08,41.92356626630205,37.82092654672149
WROC,2025-03-31 12:00:00,C09,126.13161761942081,-41.949438186327555
WROC,2025-03-31 12:00:30,C09,126.05136554026892,-41.93356848337803
WROC,2025-03-31 12:01:00,C09,125.97115167533157,-41.91764257247065
WROC,2025-03-31 12:01:30,C09,125.89097631153108,-41.90166054617354
WROC,2025-03-31 12:02:00,C09,125.81083973491123,-41.88562249771536
WROC,2025-03-31 12:02:30,C09,125.73074223063205,-41.86952852098262
WROC,2025-03-31 12:03:00,C09,125.6506840829648,-41.85337871051699
WROC,2025-03-31 12:03:30,C09,125.57066557528671,-41.83717316151262
WROC,2025-03-31 12:04:00,C09,125.49068699007586,-41.820911969813345
WROC,2025-03-31 12:04:30,C09,125.41074860890629,-41.804595231910056
WROC,2025-03-31 12:05:00,C09,125.330850712443,-41.78822304493786
WROC,2025-03-31 12:05:30,C09,125.25052244464187,-41.76911680986645
WROC,2025-03-31 12:06:00,C09,125.1702392660947,-41.74995398298829
WROC,2025-03-31 12:06:30,C09,125.09000145383422,-41.73073467575021
WROC,2025-03-31 12:07:00,C09,125.00980928386856,-41.71145900025654
WROC,2025-03-31 12:07:30,C09,124.92966303117656,-41.69212706926572
WROC,2025-03-31 12:08:00,C09,124.84956296970351,-41.67273899618717
WROC,2025-03-31 12:08:30,C09,124.76950937235684,-41.65329489507813
WROC,2025-03-31 12:09:00,C09,124.68950251100178,-41.63379488064029
WROC,2025-03-31 12:09:30,C09,124.60954265645718,-41.614239068216655
WROC,2025-03-31 12:10:00,C09,124.52963007849138,-41.594627573788216
WROC,2025-03-31 12:10:30,C09,124.4494288657352,-41.57229451763052
WROC,2025-03-31 12:11:00,C09,124.36927931041646,-41.54990469270836
WROC,2025-03-31 12:11:30,C09,124.28918167601938,-41.52745822941444
WROC,2025-03-31 12:12:00,C09,124.20913622487524,-41.504955258789764
WROC,2025-03-31 12:12:30,C09,124.12914321815873,-41.4823959125199
WROC,2025-03-31 12:13:00,C09,124.04920291588466,-41.459780322931394
WROC,2025-03-31 12:13:30,C09,123.96931557690459,-41.43710862298796
WROC,2025-03-31 12:14:00,C09,123.88948145890339,-41.4143809462868
WROC,2025-03-31 12:14:30,C09,123.80970081839625,-41.39159742705485
WROC,2025-03-31 12:15:00,C09,123.72997391072518,-41.36875820014499
WROC,2025-03-31 12:15:30,C09,123.65009619878428,-41.34321495388301
WROC,2025-03-31 12:16:00,C09,123.57027632038785,-41.317614958516515
WROC,2025-03-31 12:16:30,C09,123.49051452223776,-41.29195836328894
WROC,2025-03-31 12:17:00,C09,123.41081104977661,-41.26624531807791
WROC,2025-03-31 12:17:30,C09,123.33116614718512,-41.24047597339121
WROC,2025-03-31 12:18:00,C09,123.25158005737995,-41.21465048036252
WROC,2025-03-31 12:18:30,C09,123.1720530220114,-41.1887689907473
WROC,2025-03-31 12:19:00,C09,123.09258528146097,-41.16283165691855
WROC,2025-03-31 12:19:30,C09,123.01317707483939,-41.136838631862624
WROC,2025-03-31 12:20:00,C09,122.93382863998453,-41.110790069174975
WROC,2025-03-31 12:20:30,C09,122.85446266278898,-41.08205992052842
WROC,2025-03-31 12:21:00,C09,122.77516022766633,-41.05327322532229
WROC,2025-03-31 12:21:30,C09,122.69592156181133,-41.02443015141275
